查询指定仓库商品的库存	CHECK_WAREHOUSE_STOCK
查询仓库库存低于安全水位的商品	CHECK_LOW_STOCK_ITEMS
对仓库产生或打印库存报表	WAREHOUSE_INVENTORY_REPORT
库存调整：增加或减少商品数量	ADJUST_STOCK_QUANTITY
查询批次商品的有效日期	CHECK_BATCH_EXPIRY_DATE
新增采购单	CREATE_PURCHASE_ORDER
供应商请款单查询	CHECK_SUPPLIER_INVOICE
打印采购单	PRINT_PURCHASE_ORDER
查询采购单的处理状态	CHECK_PURCHASE_ORDER_STATUS
删除指定的采购单	DELETE_PURCHASE_ORDER
新增销售单	CREATE_SALES_ORDER
查询客户单据，例如订单或销售单	CHECK_CUSTOMER_DOCUMENTS
打印销售单	PRINT_SALES_ORDER
查询单据的处理进度	CHECK_DOCUMENT_PROGRESS
取消客户的销售单	CANCEL_SALES_ORDER
新增商品入库单	CREATE_INBOUND_ORDER
新增商品出库单	CREATE_OUTBOUND_ORDER
查询仓库间的调拨单	CHECK_TRANSFER_ORDER
打印出库单	PRINT_OUTBOUND_ORDER
修改入库单内容	EDIT_INBOUND_ORDER
产生销售报表	GENERATE_SALES_REPORT
产生采购报表	GENERATE_PURCHASE_REPORT
查询应收帐款报表	CHECK_ACCOUNTS_RECEIVABLE
查询应付帐款报表	CHECK_ACCOUNTS_PAYABLE
打印财务报表 - 损益表	PRINT_PROFIT_LOSS_REPORT
查询对账单	CHECK_CUSTOMER_STATEMENT
查询形式发票	CHECK_PROFORMA_INVOICE
查询借样	CHECK_SAMPLE_ORDER
